time	V(n003)	V(n008)
2.126385176982187e-006	1.032267e+000	-5.263932e-001
2.127771315411919e-006	1.035634e+000	-5.238893e-001
2.128867929194339e-006	1.038385e+000	-5.218785e-001
2.130464738524934e-006	1.042521e+000	-5.189069e-001
2.131962291443412e-006	1.046516e+000	-5.160814e-001
2.133330279104062e-006	1.050282e+000	-5.134599e-001
2.134906690830912e-006	1.054756e+000	-5.103896e-001
2.136135075096746e-006	1.058355e+000	-5.079538e-001
2.137921543143156e-006	1.063758e+000	-5.043464e-001
2.139586269631760e-006	1.068946e+000	-5.009254e-001
2.141203725471164e-006	1.074152e+000	-4.975348e-001
2.142936763118580e-006	1.079908e+000	-4.938272e-001
2.144395992102754e-006	1.084908e+000	-4.906388e-001
2.146185358490454e-006	1.091219e+000	-4.866512e-001
2.147650418608815e-006	1.096539e+000	-4.833186e-001
2.149641579136941e-006	1.103997e+000	-4.786844e-001
2.151492629273027e-006	1.111158e+000	-4.742687e-001
2.153538757564133e-006	1.119347e+000	-4.692558e-001
2.155801875781266e-006	1.128714e+000	-4.635602e-001
2.157976987427618e-006	1.138034e+000	-4.579269e-001
2.160105330686196e-006	1.147482e+000	-4.522462e-001
2.162439499325819e-006	1.158193e+000	-4.458341e-001
2.164517042647224e-006	1.168048e+000	-4.399575e-001
2.166915871515407e-006	1.179805e+000	-4.329683e-001
2.168969214816352e-006	1.190200e+000	-4.268051e-001
2.171380858902172e-006	1.202801e+000	-4.193512e-001
2.173600539757958e-006	1.214766e+000	-4.122860e-001
2.176079979019502e-006	1.228582e+000	-4.041407e-001
2.178746721672592e-006	1.243941e+000	-3.950978e-001
2.181445592604886e-006	1.260042e+000	-3.856285e-001
2.184700068588730e-006	1.280169e+000	-3.738014e-001
2.187615770900264e-006	1.298870e+000	-3.628192e-001
2.190732724144384e-006	1.319645e+000	-3.506256e-001
2.194551248987930e-006	1.346101e+000	-3.351035e-001
2.198230135835866e-006	1.372621e+000	-3.195481e-001
2.201881620575441e-006	1.400112e+000	-3.034277e-001
2.206943080576562e-006	1.439960e+000	-2.800684e-001
2.211764385445791e-006	1.479679e+000	-2.567925e-001
2.216343204970717e-006	1.519323e+000	-2.335725e-001
2.222507515220462e-006	1.575702e+000	-2.005731e-001
2.230616290090776e-006	1.654372e+000	-1.545732e-001
2.238413473468898e-006	1.734977e+000	-1.075082e-001
2.246444984525808e-006	1.823636e+000	-5.583801e-002
2.255257628615975e-006	1.927547e+000	4.572063e-003
2.265270600081831e-006	2.054723e+000	7.823358e-002
